Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-08-12 06:34:20,Human,Channeler,Female,Kandor,16,17,17,15,12,77
2013-08-12 06:31:32,Human,Channeler,Female,Kandor,16,17,14,13,15,75
2013-08-12 06:25:28,Human,Channeler,Female,Kandor,17,12,17,12,12,70
2013-08-12 06:23:25,Human,Channeler,Female,Kandor,11,18,17,12,14,72
2013-08-12 06:17:42,Human,Channeler,Female,Kandor,14,14,17,13,14,72
2013-08-12 06:13:25,Human,Channeler,Female,Kandor,14,15,15,14,14,72
2013-08-12 06:11:45,Human,Channeler,Female,Kandor,15,15,13,15,15,73
2013-08-12 06:11:45,Human,Channeler,Female,Kandor,15,15,13,15,15,73
2013-08-12 06:09:16,Human,Channeler,Female,Kandor,17,15,17,13,14,76
2013-08-12 06:05:49,Human,Channeler,Female,Kandor,13,14,15,13,15,70
2013-08-12 06:03:54,Human,Channeler,Female,Kandor,17,16,16,12,11,72
2013-08-12 06:01:04,Human,Channeler,Female,Kandor,14,13,16,13,15,71
2013-08-12 05:52:48,Human,Channeler,Female,Kandor,16,17,18,11,12,74
2013-08-12 05:50:06,Human,Channeler,Female,Kandor,18,15,17,15,13,78
2013-08-12 05:46:03,Human,Channeler,Female,Kandor,17,14,18,13,12,74
2013-08-12 05:38:48,Human,Channeler,Female,Kandor,14,14,15,16,13,72
2013-08-12 05:33:41,Human,Channeler,Female,Kandor,15,15,17,13,13,73
2013-08-12 05:31:38,Human,Channeler,Female,Kandor,14,19,15,10,12,70
2013-08-12 05:30:02,Human,Channeler,Female,Kandor,16,16,15,11,12,70
2013-08-12 05:15:49,Human,Channeler,Female,Kandor,16,16,15,11,12,70
2013-08-12 05:13:52,Human,Channeler,Female,Kandor,14,15,15,14,12,70
2013-08-12 05:12:17,Human,Channeler,Female,Kandor,13,15,15,15,12,70
2013-08-12 04:41:01,Human,Channeler,Female,Kandor,15,13,17,13,14,72
2013-08-12 04:41:00,Human,Channeler,Female,Kandor,15,13,17,13,14,72
2013-08-12 04:35:00,Human,Channeler,Female,Kandor,14,17,16,14,12,73
2013-08-12 04:27:29,Human,Channeler,Female,Kandor,13,17,15,13,14,72
2013-08-12 04:27:28,Human,Channeler,Female,Kandor,13,17,15,13,14,72
2013-08-12 04:23:04,Human,Channeler,Female,Kandor,16,15,18,12,12,73
2013-08-12 04:04:45,Human,Channeler,Female,Kandor,14,14,17,14,13,72
2013-08-12 04:02:52,Human,Channeler,Female,Kandor,14,15,18,13,14,74
2013-08-12 03:40:11,Human,Channeler,Female,Kandor,16,16,15,11,12,70
2013-08-12 03:37:36,Human,Channeler,Female,Kandor,14,17,15,15,10,71
2013-08-12 03:34:48,Human,Channeler,Female,Kandor,18,15,15,17,12,77
2013-08-12 03:33:14,Human,Channeler,Female,Kandor,14,17,13,13,14,71
2013-08-12 03:25:54,Human,Channeler,Female,Kandor,14,15,15,12,15,71
2013-08-12 03:23:35,Human,Channeler,Female,Kandor,15,14,16,13,13,71
2013-08-12 03:07:18,Human,Channeler,Female,Kandor,14,17,15,14,12,72
2013-08-12 03:06:32,Human,Channeler,Female,Kandor,14,17,15,14,12,72
2013-08-12 03:04:28,Human,Channeler,Female,Kandor,16,15,13,12,14,70
2013-08-12 03:04:18,Human,Channeler,Female,Kandor,16,15,13,12,14,70
2013-08-12 03:02:27,Human,Channeler,Female,Kandor,16,15,13,12,14,70
2013-08-12 02:59:10,Human,Channeler,Female,Kandor,14,15,15,14,14,72
2013-08-12 02:59:10,Human,Channeler,Female,Kandor,14,15,15,14,14,72
2013-08-12 02:57:36,Human,Channeler,Female,Kandor,14,16,16,13,11,70
2013-08-12 02:53:29,Human,Channeler,Female,Kandor,14,16,16,13,11,70
2013-08-12 02:51:31,Human,Channeler,Female,Kandor,14,13,16,14,15,72
2013-08-12 02:47:14,Human,Channeler,Female,Kandor,17,16,14,13,13,73
2013-08-12 02:15:35,Human,Channeler,Female,Kandor,14,15,16,14,14,73
2013-08-12 02:08:35,Human,Channeler,Female,Kandor,14,17,15,14,11,71
2013-08-12 02:06:55,Human,Channeler,Female,Kandor,14,15,18,12,12,71
